Linux 7.0.0-30-generic (workstation) 	09/07/26 	_x86_64_	(32 CPU)

11:55:13     MBfsfree  MBfsused   %fsused  %ufsused     Ifree     Iused    %Iused FILESYSTEM
Summary:            0       165    100.00    100.00         0     27806    100.00 /dev/loop21
Summary:            0       531    100.00    100.00         0     21236    100.00 /dev/loop23
Summary:            0       350    100.00    100.00         0     18307    100.00 /dev/loop22
Summary:            0       532    100.00    100.00         0     21236    100.00 /dev/loop24
Summary:            0       615    100.00    100.00         0     23643    100.00 /dev/loop25
Summary:            0       606    100.00    100.00         0     23329    100.00 /dev/loop26
Summary:            0        13    100.00    100.00         0      1144    100.00 /dev/loop27
Summary:            0        92    100.00    100.00         0     76208    100.00 /dev/loop28
Summary:            0        13    100.00    100.00         0     32737    100.00 /dev/loop29
Summary:            0        43    100.00    100.00         0      2084    100.00 /dev/loop30
Summary:            0       395    100.00    100.00         0       796    100.00 /dev/loop32
Summary:            0       402    100.00    100.00         0       872    100.00 /dev/loop31
Summary:            0        19    100.00    100.00         0        65    100.00 /dev/loop33
Summary:            0        12    100.00    100.00         0        12    100.00 /dev/loop36
Summary:            0        14    100.00    100.00         0        15    100.00 /dev/loop35
Summary:            0        19    100.00    100.00         0        65    100.00 /dev/loop34
Summary:            0        16    100.00    100.00         0        74    100.00 /dev/loop37
Summary:            0        50    100.00    100.00         0       610    100.00 /dev/loop40
Summary:            0        12    100.00    100.00         0        75    100.00 /dev/loop38
Summary:            0         1    100.00    100.00         0        65    100.00 /dev/loop41
Summary:            0         1    100.00    100.00         0        66    100.00 /dev/loop42
Summary:            0       144    100.00    100.00         0       137    100.00 /dev/loop44
Summary:            0       176    100.00    100.00         0       136    100.00 /dev/loop43
Summary:            0       221    100.00    100.00         0       907    100.00 /dev/loop49
Summary:            0       343    100.00    100.00         0     15306    100.00 /dev/loop52
Summary:            0         8    100.00    100.00         0         9    100.00 /dev/loop51
Summary:            0       484    100.00    100.00         0      3324    100.00 /dev/loop54
Summary:            0         8    100.00    100.00         0         9    100.00 /dev/loop53
Summary:            0       423    100.00    100.00         0      1225    100.00 /dev/loop55
Summary:         1067         6      0.59      0.59         0         0      0.00 /dev/nvme1n1p1
Summary:            0       100    100.00    100.00         0       145    100.00 /dev/loop45
Summary:            0       100    100.00    100.00         0       145    100.00 /dev/loop1
Summary:            0        38    100.00    100.00         0        10    100.00 /dev/loop56
Summary:            0       261    100.00    100.00         0       641    100.00 /dev/loop47
Summary:            0       214    100.00    100.00         0       616    100.00 /dev/loop15
Summary:            0       222    100.00    100.00         0       906    100.00 /dev/loop2
Summary:            0        38    100.00    100.00         0        10    100.00 /dev/loop50
Summary:            0       214    100.00    100.00         0       616    100.00 /dev/loop48
Summary:            0        50    100.00    100.00         0       610    100.00 /dev/loop46
