Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

03:24:15      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      7929    2.32    1.32    0.00    0.00    3.64     -  kube-apiserver
Average:    65532    125260    0.33    0.00    0.00    0.00    0.33     -  coredns
Average:    65532    125263    0.33    0.00    0.00    0.00    0.33     -  coredns
Average:      999    125378    0.33    0.00    0.00    0.00    0.33     -  redis-server
Average:     1000    574346    0.33    0.00    0.00    0.00    0.33     -  code
Average:     1000    581703    0.33    0.33    0.00    0.00    0.66     -  code
Average:        0   1463121    1.32    0.33    0.00    0.00    1.66     -  kube-controller
Average:      999   1463353    0.33    0.00    0.00    0.00    0.33     -  argocd-applicat
Average:     1000   1795075    0.33    0.00    0.00    0.00    0.33     -  claude
Average:     1000   1795094    0.33    0.00    0.00    0.00    0.33     -  2.1.263
Average:     1000   1795106    0.99    0.33    0.00    0.00    1.32     -  2.1.263
Average:     1000   1795298    4.64    0.00    0.00    0.00    4.64     -  claude
Average:      999   2138696    0.33    0.33    0.00    0.00    0.66     -  mysqld
Average:     1000   2522037    0.99    0.00    0.00    0.00    0.99     -  claude
Average:     1000   2797150    0.33    0.00    0.00    0.00    0.33     -  chrome
Average:     1000   2797616    6.29    0.66    0.00    0.00    6.95     -  claude
Average:     1000   2799758    0.33    0.33    0.00    0.00    0.66     -  chrome
Average:        0   2883238    0.00    0.66    0.00    0.00    0.66     -  kworker/u128:1-mt76
Average:     1000   2920498    0.33    0.99    0.00    0.00    1.32     -  pidstat
Average:        0   3127565    0.33    0.33    0.00    0.00    0.66     -  kube-scheduler
Average:     1000   3485058    0.33    0.00    0.00    0.00    0.33     -  code
Average:     1000   3605196    1.32    0.66    0.00    0.00    1.99     -  steam
Average:     1000   3605534    0.99    0.00    0.00    0.00    0.99     -  steamwebhelper
Average:     1000   3708952    0.66    0.33    0.00    0.00    0.99     -  chrome
Average:     1000   3709029    0.33    0.00    0.00    0.00    0.33     -  chrome
Average:     1000   4086042    0.33    0.00    0.00    0.00    0.33     -  plasmashell
