PID	Status	Label
-	0	com.apple.PIPAgent
444	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	0	com.apple.searchtoold
-	0	com.apple.printtool.agent
-	0	com.apple.callintelligenced
426	0	com.apple.askpermissiond
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
-	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
553	0	com.apple.FeatureAccessAgent
-	0	com.apple.storeuid
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
468	0	com.apple.CryptoTokenKit.ahp.agent
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
436	0	com.apple.remindd
-	0	com.apple.appsleep
471	0	com.apple.duetexpertd
453	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
3745	0	com.apple.mdworker.shared.05000000-0700-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
391	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
3781	0	com.apple.mdworker.shared.03000000-0400-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent_x86_64
346	0	com.apple.lsd
3562	0	com.apple.mdworker.shared.0F000000-0700-0000-0000-000000000000
527	0	com.apple.siri.context.service
-	0	com.apple.fskit.fskit_agent
365	0	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
938	0	runner-provisioner
-	0	com.apple.webkit.webpushd
1130	0	com.apple.weatherd
395	0	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
369	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
-	0	com.apple.CallHistorySyncHelper
-	0	com.apple.colorsync.useragent
1001	0	com.apple.analyticsagent
495	0	com.apple.appleaccountd
463	0	com.apple.parsecd
-	0	com.apple.mlruntimed
347	0	com.apple.Dock.agent
2534	0	com.apple.parsec-fbf
356	0	com.apple.dmd
449	0	com.apple.transparencyd
-	0	com.apple.usbnotificationagent
484	0	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
334	0	com.apple.UserEventAgent-Aqua
489	0	com.apple.followupd
400	0	com.apple.identityservicesd
376	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
549	0	com.apple.generativeexperiencesd
-	0	com.apple.ScreenTimeSettingsAgent
-	0	com.apple.XProtect.agent.scan
-	0	com.apple.storekitagent
-	0	com.apple.security.DiskUnmountWatcher
366	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
-	0	com.apple.securemessagingagent
750	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
940	0	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.intelligenceflowd
-	0	com.apple.icloudwebd
-	0	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
-	0	com.apple.feedbackd
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
380	0	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
362	0	com.apple.coreservices.sharedfilelistd
343	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
1240	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	0	com.apple.reversetemplated
-	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
375	0	com.apple.rapportd
440	0	com.apple.SoftwareUpdateNotificationManager
3782	0	com.apple.mdworker.shared.02000000-0000-0000-0000-000000000000
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
457	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
342	0	com.apple.containermanagerd
3777	0	com.apple.mdworker.shared.0C000000-0600-0000-0000-000000000000
494	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
-	0	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
514	0	com.apple.IOUIAgent
385	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
2273	0	com.apple.managedappdistributionagent
394	0	com.apple.accountsd
526	0	com.apple.cdpd
412	0	com.apple.routined
361	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	0	com.apple.ecosystemagent
345	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
383	0	com.apple.audio.AudioComponentRegistrar
2545	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
-	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
438	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
-	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
417	0	com.apple.imklaunchagent
364	0	com.apple.FileProvider
849	0	com.apple.imcore.imtransferagent
381	0	com.apple.mobiletimerd
-	0	com.apple.btsa
421	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
-	0	com.apple.EscrowSecurityAlert
-	0	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
-	0	com.apple.metadata.mdwrite
424	0	com.veertu.anka.addons.copypaste
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.dt.previewsviewservice
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
619	0	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
548	0	com.apple.siriknowledged
-	0	com.apple.powerchime
428	0	com.apple.sharingd
-	0	com.apple.seserviced
429	0	com.apple.mobilerepaird
-	0	com.apple.iCloudUserNotificationsd
-	0	com.apple.metrickitd
-	0	com.apple.storeassetd
490	0	com.apple.familycircled
-	0	com.apple.filevaultd
-	0	com.apple.FontRegistryUIAgent
2542	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
448	0	com.apple.TextInputSwitcher
379	0	com.apple.intelligentroutingd
-	0	com.apple.AMPArtworkAgent
432	0	com.apple.imagent
-	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
474	0	com.apple.assistant_cdmd
485	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
-	0	com.apple.imautomatichistorydeletionagent
350	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
348	0	com.apple.talagent
368	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
1000	0	com.apple.iCloudNotificationAgent
437	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
3140	0	com.apple.Maps.mapssyncd
2937	0	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
387	0	com.apple.usernotificationsd
-	0	com.apple.FamilyControlsAgent
3692	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
326	0	com.apple.secd
355	0	com.apple.hiservices-xpcservice
-	0	com.apple.cvmsCompAgent_x86_64_1
3558	0	com.apple.mdworker.shared.0A000000-0700-0000-0000-000000000000
3555	0	com.apple.mdworker.shared.10000000-0600-0000-0000-000000000000
3770	0	com.apple.mdworker.shared.04000000-0500-0000-0000-000000000000
547	0	com.apple.assistantd
869	0	com.apple.siriinferenced
-	0	com.apple.studentd
-	0	com.apple.FollowUpUI
522	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
459	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
672	0	com.apple.financed
396	0	com.apple.findmy.findmylocateagent
483	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
606	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
479	0	com.apple.scopedbookmarksagent.xpc
418	0	com.veertu.anka.addons.ankarun
-	0	com.apple.ensemble
511	0	com.apple.ReportCrash
3543	0	com.apple.biomesyncd
-	0	com.apple.ciphermld
870	0	com.apple.UsageTrackingAgent
618	0	com.apple.email.maild
390	0	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.Maps.mapspushd
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
-	0	com.apple.gamed
-	0	com.apple.STMUIHelper
-	0	com.apple.intelligencecontextd
344	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
-	0	com.apple.mobiledeviceupdater
452	0	com.apple.AccessibilityUIServer
392	0	com.apple.communicationtrustd
-	0	com.apple.helpd
-	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
-	0	com.apple.GameOverlayUI
899	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.toolkitd
-	0	com.apple.diskspaced
-	0	com.apple.passd
-	0	com.apple.DictationIM
370	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
3784	0	com.apple.mdworker.shared.09000000-0700-0000-0000-000000000000
3755	0	com.apple.mdworker.shared.06000000-0300-0000-0000-000000000000
-	0	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
3783	0	com.apple.mdworker.shared.01000000-0400-0000-0000-000000000000
450	0	com.apple.CoreAuthentication.agent
403	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
386	0	com.apple.chronod
410	0	com.apple.accessibility.heard
411	0	com.apple.corespeechd
-	0	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
496	0	com.apple.itunescloudd
-	0	com.apple.scrod
-	0	com.apple.spindump_agent
509	0	com.apple.frauddefensed
-	0	com.apple.AquaAppearanceHelper
-	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
466	0	com.apple.milod
-	0	com.apple.bookdatastored
-	0	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
-	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	0	com.apple.XProtect.agent.scan.startup
505	0	com.apple.amsengagementd
-	0	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
-	0	com.apple.proactiveeventtrackerd
-	0	com.apple.proactived
981	0	com.apple.ModelCatalogAgent
340	0	com.apple.universalaccessd
384	0	com.apple.linkd
420	0	com.veertu.anka.addons.ankacp
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
-	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.textcomposerd
-	0	com.apple.recentsd
488	0	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
508	0	com.apple.sirittsd
-	0	com.apple.dprivacyd
423	0	com.apple.usernoted
570	0	com.apple.geodMachServiceBridge
-	0	com.apple.Safari.History
-	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
-	0	com.apple.bluetoothaudiod
371	0	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
-	0	com.apple.systemsettingsagent
537	0	com.apple.swcd
-	0	com.apple.symptomsd.distributed-agent
431	0	com.apple.AirPlayUIAgent
-	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.dt.previewsd
-	0	com.apple.shazamd
409	0	com.apple.corespotlightd
